Codigo do Produto	Nome do Produto	Embalagem do produto	Categoria do Produto	Status do Produto
73049	MENU MAES FRANGO RECHEADO ARROZ GREGA TORT HOL	Un	1	Ativo
73050	MENU MAES FRANGO RECHEADO ARROZ AMEND PUDIM	Un	1	Ativo
73051	MENU MAES FRANGO RECHEADO ARROZ AMEND TORT HOL	Un	1	Ativo
14022023	Não Possui Sobre.	Un	1	Inativo
14022024	FAROFA RICA RESF KG	Un	1	Inativo
5000	PAO FRANCES KG	Un	2	Ativo
40009	FAROFA RICA RESF KG	Kg	2	Ativo
40045	Salpicao De Frango Peg Pese Kg	Kg	2	Ativo
40132	LENTILHA PEG PESE RESF KG	Kg	2	Inativo
40181	ARROZ BRANCO COZIDO RESF KG	Kg	2	Ativo
40183	ARROZ A GREGA RESF KG	Kg	2	Ativo
40213	SALADA DE BATATAS PEG PESE KG	Kg	2	Inativo
41024	SALADA DE BERINJELA C/NOZES KG	Kg	2	Inativo
41947	SALADA DE MAIONESE PEG PESE KG	Kg	2	Ativo
42161	ARROZ COM BACALHAU PEG PESE RESF KG	Kg	2	Ativo
44683	Mini Torta De Palmito C/6	Un	2	Inativo
47619	ARROZ COM CAMARAO PEG PESE RESF KG	Kg	2	Ativo
47620	CUSCUZ CAMARAO KG	Kg	2	Inativo
47623	ABOBORA MORANGA C/1KG BOBO CAMARAO	Kg	2	Ativo
55299	SALADA GRAO DE BICO C/BACALHAU KG	Kg	2	Inativo
55300	Batata Gratinada/alho Poro Peg Pese Resf Kg	Kg	2	Ativo
55301	FAROFA RESF KG	Kg	2	Ativo
61431	Pao De Hamburguer 225g	Un	2	Inativo
61844	Cuscuz Camarao 140g	Un	2	Inativo
63164	Arroz C/uva Passa E Amendoas Resf Kg	Kg	2	Ativo
63165	Arroz Integral Resf Kg	Kg	2	Inativo
63683	SALADA MISTA PEG PESE KG	Kg	2	Inativo
63685	RISOTO CAMARAO PEG PESE RESF KG	Kg	2	Inativo
63688	Farofa Banana C/ameixa Resf Kg	Kg	2	Inativo
63690	Farofa C/dende Resf Kg	Kg	2	Inativo
72891	ARROZ COM AMENDOAS KG	Kg	2	Inativo
46379	PERNIL ASSADO UN - ACOMPANHA DECORACAO	Un	3	Inativo
46380	PERU ASSADO UN - ACOMPANHA DECORACAO	Un	3	Inativo
46381	CHESTER ASSADO UN - ACOMPANHA DECORACAO	Un	3	Inativo
46382	LOMBO ASSADO PEG PESE RESF KG	Kg	3	Inativo
46383	TENDER ASSADO AO MOLHO DE ABACAXI UN	Kg	3	Inativo
50156	FRANGO DESOSSADO RECH C/FAROFA RICA UN	Un	3	Ativo
63181	PALETA CORDEIRO C/MOL HORTELA RESF KG	Kg	3	Inativo
72217	LOMBO SUINO ASSADO C/MOLHO ERVA 1KG	Un	3	Inativo
46384	MOLHO MADEIRA 250ML PEG PESE	Un	4	Inativo
46385	MOLHO DE ABACAXI 250ML	Un	4	Inativo
46386	Molho De Laranja 250ml	Un	4	Inativo
46387	MOLHO DE ERVAS FINAS 250ML	Un	4	Inativo
1010	CARNE BOV COXAO MOLE BIFE KG	Un	5	Inativo
40014	BACALHOADA PEG PESE KG	Kg	5	Inativo
41570	Bacalhau Gomes De Sa Resf Kg	Kg	5	Ativo
48057	BOBO DE CAMARAO RESF KG	Kg	5	Inativo
62458	File Tilapia C/molho Camarao Resf Kg	Kg	5	Ativo
63167	Mignon Ao Molho Peg Pese Resf Kg	Kg	5	Ativo
63168	COSTELA SUINA C/MOLHO BARBECUE PEG PEG RESF KG	Kg	5	Inativo
63169	File Salmao Ao Alho Poro Peg Pese Resf Kg	Kg	5	Ativo
63170	PICANHA ASSADA C/MOLHO ERVAS RESF KG	Kg	5	Ativo
63182	LOMBO BACALHAU C/BATATA AO MURRO RESF KG	Kg	5	Inativo
63693	MOQUECA DE CACAO C/CAMARAO RESF KG	Kg	5	Inativo
63696	PAELLA PEG PESE KG	Kg	5	Inativo
63697	PAELLA PEG PESE RESF KG	Kg	5	Inativo
72216	PALETA CORDEIRO C/MOL HORTELA 1,2KG	Un	5	Inativo
62870	QUICHE ALHO PORO RESF 400G	Un	6	Ativo
62871	Quiche Lorraine Resf 400g	Un	6	Inativo
62872	QUICHE CAPRESE RESF 400G	Un	6	Ativo
62886	Torta Legumes Resf 450g	Un	6	Inativo
62887	TORTA BACALHAU RESF 400G	Un	6	Inativo
62888	TORTA CAMARAO RESF 400G	Un	6	Inativo
62889	TORTA FRANGO RESF 450G	Un	6	Ativo
62890	Torta Palmito Resf 450g	Un	6	Ativo
10841	Bolo Pascoa C/frutas Trad 500g	Un	8	Inativo
17754	Bolo Pascoa C/gotas De Choc 500g	Un	8	Inativo
63196	Bolo Conf Abacaxi C/coco 1kg	Un	8	Ativo
63198	Bolo Conf Brigadeiro 1kg	Un	8	Ativo
63200	Bolo Conf Floresta Mista 1kg	Un	8	Ativo
63202	BOLO CONF FLORESTA NEGRA 1KG	Un	8	Inativo
63203	Bolo Conf Nozes Gelado 1kg	Un	8	Ativo
63204	Bolo Conf Prestigio Gelado 1kg	Un	8	Ativo
63205	BOLO CONF FLORESTA BRANCA 1KG	Un	8	Inativo
63206	Bolo Conf Morango 1kg	Un	8	Ativo
63208	Bolo Conf Trufado Chocolate 1kg	Un	8	Ativo
71341	BOLO DELICIA DE CEREJA 800G	Un	8	Ativo
71345	BOLO DOIS AMORES 1KG	Un	8	Ativo
49641	Lasanha Bolonhesa Peg Pese Cong Kg	Kg	9	Inativo
63218	Canelone Presunto/qjo Peg Pese Resf Kg	Kg	9	Inativo
63219	NHOQUE AO SUGO PEG PESE RESF 1KG	Un	9	Inativo
63221	Rondeli Presunto/qjo Peg Pese Resf Kg	Kg	9	Inativo
63303	LASANHA BOLONHESA RESF 2KG	Un	9	Ativo
64	ENDIVIA 500G	Un	10	Inativo
58014	Torta De Nozes Grande 1kg	Un	10	Inativo
58015	Torta De Frutas Secas Grande 1kg	Un	10	Inativo
40203	KIBE PEG PESE KG	Kg	11	Inativo
40808	BOLINHO DE BACALHAU KG	Kg	11	Ativo
50561	COXINHA FRITA PEG PESE KG	Kg	11	Inativo
59699	MINI COXINHA FRITA KG	Kg	11	Inativo
59701	MINI BOLINHO DE BACALHAU KG	Kg	11	Inativo
59703	MINI KIBE PEG PESE KG	Kg	11	Inativo
60240	BOLINHO PRESUNTO/QJO KG	Kg	11	Inativo
60244	CROQUETE PRESUNTO/QUEIJO KG	Kg	11	Inativo
60246	CROQUETE PEITO PERU/QUEIJO KG	Kg	11	Inativo
60763	BOLINHO DE QUEIJO KG	Kg	11	Inativo
63171	Bolinho De Bacalhau Resf 400g	Un	11	Inativo
54037	Pave Peg Pese 1kg	Un	12	Ativo
58009	TORTA DE LIMAO GRANDE 1KG	Un	12	Ativo
58018	TORTA DE FRUTAS GRANDE 1KG	Un	12	Inativo
58021	PUDIM 1KG	Un	12	Ativo
58051	TORTA HOLANDESA GRANDE 1KG	Un	12	Ativo
65848	TORTA BANOFFE 1KG	Un	12	Ativo
60905	BARCA ESPECIAL COMPLETO PEG PESE 650G	Un	13	Ativo
60906	BARCA ESPECIAL PEG PESE 350G	Un	13	Ativo
60907	BARCA PEG PESE 350G	Un	13	Ativo
60944	HOT ROLL 300G	Un	13	Ativo
61824	COMBINADO VARIADO 1,6KG	Un	13	Inativo
63093	POKE SALMAO 350G	Un	13	Ativo
70634	COMBINADO ESPECIAL PEG PESE 800G	Un	13	Ativo
69069	TABUA DE FRIOS PREMIUM 03	Un	14	Ativo
69174	TABUA DE FRIOS PREMIUM 01	Un	14	Ativo
69175	TABUA DE FRIOS PREMIUM 05	Un	14	Ativo
69294	TABUA DE FRIOS PREMIUM 02	Un	14	Ativo
69295	TABUA DE FRIOS PREMIUM 04	Un	14	Ativo
69575	TABUA DE FRIOS PREMIUM 06	Un	14	Ativo
